id,title,introduction,access,food,activities,latitude,longitude,city,region,postal_code,department,country,ambiance,capacity,number_of_bedrooms,number_of_bathrooms,number_of_beds,number_of_workspaces,house_type
d957ea43-b041-4445-b323-e19cd7a1c021,Lieu 0,"Situé dans une région pittoresque, cet établissement est idéalement placé près d'une charmante ville côtière. La région environnante offre des attractions renommées, y compris de magnifiques plages, des marchés locaux dynamiques et des paysages exquis, en faisant une destination parfaite pour des activités professionnelles et de loisirs. Cet établissement propose une gamme complète d'installations conçues pour répondre aux besoins professionnels et récréatifs. Équipé de salles de réunion modernes avec technologie audio-visuelle de pointe, accès Internet haut débit et agencements flexibles, il assure un environnement productif pour tout événement d'entreprise. De plus, les clients peuvent profiter d'aménagements de loisirs tels qu'un parc serein, une piscine et un centre de fitness, offrant de nombreuses opportunités de détente et de bien-être. Les services sur place améliorent l'expérience globale, y compris une assistance dédiée à la planification d'événements, des options de restauration adaptées à diverses préférences alimentaires et un soutien complet pour les besoins audiovisuels. Le personnel attentif s'engage à garantir que chaque aspect de votre séjour soit fluide, vous permettant de vous concentrer sur vos objectifs tout en profitant des environs tranquilles.","L'espace est conçu pour être accessible à tous les invités, avec des rampes et des ascenseurs pour garantir une circulation fluide à travers la propriété. De plus, les salles de réunion sont dotées d'équipements modernes pour répondre à divers besoins, ce qui en fait un choix approprié pour les événements nécessitant des considérations d'accessibilité.","L'établissement propose une large gamme de services de restauration adaptés aux besoins d'une clientèle professionnelle. Les invités peuvent savourer une variété d'options culinaires, mettant en avant des plats locaux et internationaux, préparés avec des ingrédients de qualité. Les installations de restauration sur place offrent une ambiance raffinée pour les repas d'affaires et les rassemblements sociaux, garantissant une expérience mémorable. De plus, des services de traiteur sur mesure sont disponibles pour les événements, permettant des menus personnalisés qui répondent à des préférences spécifiques et à des exigences alimentaires.","L'établissement propose une gamme d'activités récréatives conçues pour améliorer votre expérience. Les invités peuvent profiter de promenades tranquilles dans un vaste parc méditerranéen, s'adonner à des sports nautiques le long de la côte voisine ou se détendre au bord de la piscine. De plus, le lieu offre des opportunités de cyclisme et d'exploration des environs pittoresques, garantissant un parfait mélange de détente et d'aventure.",43.9923304,10.1247303,Massa,Toscana,54039,Provincia di Massa e Carrara,Italy,BEACH,0,0,0,0,0,HOTEL
3b33e55f-1d30-46e1-bdda-3fe094f54ab9,Lieu 1,"Situé au cœur d'une ville réputée pour son riche patrimoine et ses canaux pittoresques, cet élégant hôtel-boutique offre un parfait mélange d'équipements modernes et d'hospitalité classique. Entouré de lieux tranquilles et pittoresques, les clients disposent d'un cadre idéal pour se détendre ou explorer les nombreux trésors culturels de cette ville classée au patrimoine mondial de l'UNESCO. Avec son emplacement central, l'hôtel permet un accès facile aux attractions emblématiques de la ville, faisant de lui une base idéale pour les voyageurs d'affaires et de loisirs. L'hôtel combine sophistication et confort, offrant des chambres soigneusement aménagées, chacune conçue pour offrir un refuge relaxant après une journée chargée. Les intérieurs présentent un mélange élégant de touches modernes et d'architecture traditionnelle, tandis que les clients profitent d'équipements contemporains tels qu'un accès Internet haut débit et une salle de sport entièrement équipée. L'établissement dispose également d'un bar élégant avec terrasse, parfait pour un verre décontracté ou une réunion informelle. Chaque matin, les clients peuvent déguster un délicieux petit-déjeuner servi dans une salle charmante, créant une atmosphère propice à une journée productive. Que vous visitiez pour affaires ou pour le plaisir, l'hôtel offre le cadre parfait pour votre séjour. Les voyageurs d'affaires peuvent profiter du Wi-Fi gratuit dans tout l'établissement et d'une application mobile de la ville pour une expérience fluide. L'équipe dédiée veille à ce que chaque client bénéficie d'un service personnalisé, que ce soit pour des arrangements de voyage, des recommandations locales ou l'organisation d'événements d'affaires sur mesure. Le parking souterrain ajoute une couche de commodité supplémentaire, garantissant que votre séjour soit aussi agréable que possible.","Cet établissement est idéalement situé au cœur d'une ville historique, facilement accessible par divers moyens de transport. Il se trouve à environ 15 minutes à pied de la gare principale, qui relie plusieurs grandes villes. Pour ceux qui arrivent en voiture, un parking souterrain est à disposition pour garantir une arrivée fluide et sécurisée. Si vous venez de la gare, des options de taxi et de transports en commun sont disponibles, mais une promenade est également agréable car le centre historique est à proximité. Grâce à son emplacement central, de nombreuses attractions majeures sont accessibles à pied. Pour ceux qui arrivent par avion, un trajet en voiture d'environ 1 heure et 20 minutes est nécessaire, ou un train direct peut être pris depuis l'aéroport. Des transferts privés peuvent également être organisés pour plus de commodité. La ville propose également des locations de vélos, offrant une manière unique et écologique d'explorer les rues pavées et les environs pittoresques.",,,51.2020874,3.225383000000001,Brugge,Vlaams Gewest,8000,West-Vlaanderen,Belgique,URBAN,90,90,90,90,12,HOTEL
91c4bf1a-4b90-494d-bc4b-191d3c05136c,Lieu 2,"Situé dans une région pittoresque, ce lieu offre une escapade sereine entourée de collines douces et de la beauté enchanteresse des vergers. La région est riche en culture et en histoire, avec des attractions à proximité, y compris des villages charmants et des paysages pittoresques, parfaits pour la détente et l'exploration durant votre séjour. Les installations de ce lieu sont conçues pour répondre aux besoins professionnels et de loisirs. Il dispose de salles de réunion bien aménagées, équipées de technologies audiovisuelles modernes, d'un accès Internet haut débit et d'arrangements de sièges flexibles pour accueillir divers formats d'événements. Les invités peuvent également profiter d'un restaurant sur place qui propose une gamme d'options culinaires, garantissant une expérience gastronomique satisfaisante. En plus de ses excellentes installations, le lieu offre une variété de services pour améliorer votre expérience. Ceux-ci incluent des services de blanchisserie, le service en chambre et un parking payant pratique. Avec un total de 15 chambres, dont 4 suites luxueuses, chaque détail a été pris en compte pour assurer confort et commodité à tous les invités.","L'espace est conçu pour répondre à divers besoins d'accessibilité, garantissant que tous les invités peuvent naviguer confortablement. Il dispose d'entrées et de chemins accessibles, ainsi que d'installations adaptées aux personnes ayant des défis de mobilité. Le personnel attentif est formé pour aider avec des exigences spécifiques, créant ainsi un environnement accueillant pour tous les participants.","L'établissement dispose d'un restaurant raffiné sur place qui propose une sélection variée d'options culinaires, garantissant une expérience gastronomique agréable pour les invités. Les services de restauration sont adaptés aux besoins d'une clientèle professionnelle, avec un service en chambre attentif et un engagement envers la qualité. Que ce soit pour un banquet formel ou une réunion décontractée, l'équipe culinaire s'engage à offrir un service exceptionnel et des saveurs exquises.","L'établissement propose un environnement paisible entouré de paysages pittoresques, idéal pour la détente et les loisirs. Les invités peuvent profiter d'activités en plein air telles que des promenades dans la nature et des visites guidées à travers des collines pittoresques, offrant une occasion de se connecter avec l'environnement naturel. De plus, le restaurant sur place sert une variété de délices culinaires, parfaits pour se détendre après une journée de réunions ou d'exploration de la région. Avec des hébergements confortables et un service attentif, cet endroit garantit une expérience équilibrée entre travail et loisirs.",44.8862908,8.9928441,Cascina Cappelletta,Piemonte,15059,Provincia di Alessandria,Italy,COUNTRYSIDE,15,15,0,0,0,HOTEL
0d189d9f-0cff-4377-89c2-1345d4b7d09c,Lieu 3,"Situé dans une région pittoresque, cet espace rénové offre une vue panoramique sur une vallée verdoyante. Idéal pour allier travail et détente, il se trouve à proximité de sites emblématiques. Ce domaine spacieux permet d'accueillir des réunions ou séminaires dans un cadre serein. Une piscine privée chauffée est disponible pour des moments de détente, ainsi qu'une cuisine d'été haut de gamme. Des installations sportives et récréatives, telles qu'un terrain de pétanque et des jeux, sont à disposition. Des services adaptés aux professionnels, des espaces pour séminaires et des solutions technologiques sont proposés pour faciliter vos événements. Un personnel dévoué est présent pour rendre votre séjour exceptionnel.","Le site est accessible à environ 43 km d'une gare régionale, avec un trajet d'environ 10 minutes en train depuis une grande ville, suivi d'un trajet en taxi d'environ 57 minutes, nécessitant une réservation préalable.",,,45.021091,4.4895661,Labatie-d'Andaure,Auvergne-Rhône-Alpes,7570,Ardèche,France,COUNTRYSIDE,16,8,7,16,2,SELF_MANAGED
3d9ae8ba-2799-4f08-9e56-99a2054119cd,Lieu 4,"Situé dans une région pittoresque connue pour ses paysages sereins et son atmosphère côtière charmante, cet espace propose un mélange parfait de tranquillité et d'accessibilité. La zone est réputée pour ses belles plages, ses parcs luxuriants et sa culture locale dynamique, ce qui en fait une destination idéale pour les voyageurs d'affaires et de loisirs. Les attractions à proximité comprennent des sentiers de randonnée pittoresques, des cafés agréables et des sites culturels qui offrent une expérience riche aux visiteurs. L'espace est équipé d'une variété de installations modernes conçues pour répondre aux besoins des professionnels et des amateurs de loisirs. Il dispose de salles de réunion bien aménagées avec un équipement audiovisuel à la pointe de la technologie, un accès Internet haut débit et des arrangements de sièges confortables pour faciliter des rassemblements productifs. De plus, les invités peuvent profiter d'un restaurant sur place qui propose un menu diversifié, garantissant que les expériences culinaires soient à la fois agréables et pratiques. Les services sur place sont adaptés pour améliorer l'expérience globale, fournissant aux invités tout ce dont ils ont besoin pour un séjour réussi. Un personnel attentif est disponible pour aider à la planification et à la coordination d'événements, garantissant que toutes les exigences soient satisfaites sans accroc. En outre, l'espace propose des commodités telles que le service d'étage, l'assistance de conciergerie et des activités de loisirs, garantissant que le travail et la détente peuvent être intégrés sans effort pendant votre visite.","L'espace est conçu pour être accessible à tous les invités, avec des installations qui accueillent les personnes ayant des défis de mobilité. Des rampes et des entrées accessibles sont disponibles, garantissant une circulation aisée dans tout le site. De plus, des chambres accessibles sont proposées pour améliorer le confort de tous les participants.","L'établissement dispose d'un restaurant sur place proposant une sélection variée de délices culinaires, garantissant une expérience gastronomique agréable pour les invités. Les services de restauration sont conçus pour répondre à divers goûts et préférences, offrant des options de cuisine locale et internationale. Les participants peuvent profiter d'une atmosphère confortable tout en savourant des plats préparés avec soin, ce qui en fait un cadre idéal pour des repas décontractés ainsi que pour des occasions de restauration formelles.","L'établissement propose une gamme d'activités récréatives visant à améliorer l'expérience des visiteurs. Les invités peuvent profiter de promenades tranquilles à travers des jardins magnifiquement aménagés, se détendre dans le restaurant sur place offrant un menu varié, et participer à diverses activités de plein air qui favorisent la relaxation et le bien-être. De plus, les clients ont accès à des hébergements confortables, garantissant une atmosphère chaleureuse et accueillante tout au long de leur séjour.",51.2776059,3.0387101,De Haan,Vlaams Gewest,8421,West-Vlaanderen,Belgium,BEACH,15,15,0,0,0,HOTEL
50a04801-91c5-4e32-8344-25e75d2783ca,Lieu 5,"Situé le long d'une côte pittoresque, cet espace est niché dans une région réputée pour ses plages magnifiques et sa culture locale dynamique. Les attractions à proximité comprennent des villes côtières charmantes, des monuments historiques et des paysages pittoresques qui offrent un cadre parfait pour les activités de loisirs et professionnelles. Le riche patrimoine et la beauté naturelle de la région en font une destination idéale pour des événements et des rassemblements d'entreprise. L'espace dispose d'une gamme complète d'installations conçues pour répondre aux besoins professionnels et de loisirs. Il propose 51 chambres bien aménagées, chacune offrant des vues imprenables sur l'océan. Les participants bénéficieront d'un accès Internet haut débit et d'une variété d'espaces de réunion équipés de technologies audiovisuelles modernes. De plus, le restaurant sur place propose un menu diversifié, garantissant que toutes les préférences culinaires sont prises en compte, tandis que les équipements de loisirs offrent des opportunités de détente après une journée productive. Une variété de services est disponible sur place pour améliorer l'expérience globale des invités. Un parking gratuit est fourni pour plus de commodité, et l'espace est facilement accessible par les transports en commun, y compris les options de bus et de train. Le personnel professionnel est dédié à s'assurer que tous les besoins sont satisfaits, de l'assistance à la planification d'événements aux services personnalisés pour les invités, faisant de cet endroit un choix de premier plan pour des événements d'entreprise réussis.","L'espace est conçu pour être accessible à tous les invités, avec un accès pour fauteuils roulants et des options de transport pratiques, y compris des services de bus et de train. De plus, un stationnement gratuit est disponible, facilitant l'accès pour ceux qui arrivent en voiture. La proximité de la côte améliore l'expérience globale, en faisant un choix idéal pour des événements de loisirs et professionnels.","L'établissement propose une expérience culinaire variée avec un restaurant sur place qui sert un mélange de plats raffinés. Les invités peuvent profiter d'une gamme d'options alimentaires et de boissons conçues pour répondre à divers goûts et préférences, garantissant une expérience gastronomique agréable durant leur séjour.","Les invités peuvent profiter d'une variété d'activités récréatives conçues pour améliorer leur expérience. Le lieu offre un accès direct à une belle côte, permettant des activités de plage telles que le bronzage, la baignade et le volley-ball de plage. Pour ceux qui recherchent la détente, il y a des sentiers de promenade sereins le long du rivage. De plus, le restaurant sur place propose une expérience culinaire agréable, mettant en vedette un mélange de cuisine locale. Avec des options pour les loisirs et la restauration, les invités peuvent se détendre et profiter d'une escapade parfaite.",43.7659056,13.1453433,Marotta,Marche,61037,Provincia di Pesaro e Urbino,Italy,BEACH,96,51,0,0,0,HOTEL
f7cfeddf-129d-4ed0-88ef-1c1f25a184da,Lieu 6,"Situé dans une région dynamique d'Italie, ce lieu est stratégiquement placé près du centre animé d'une ville historique connue pour son riche patrimoine maritime. Les invités peuvent explorer des attractions à proximité telles que le terminal de ferry emblématique et le centre commercial moderne qui symbolise l'avenir de la ville. La zone est également réputée pour son front de mer pittoresque et son charmant vieux quartier, en faisant une destination idéale tant pour les voyageurs d'affaires que de loisirs. Le lieu dispose d'installations complètes conçues pour répondre aux besoins d'une clientèle professionnelle. Il propose trois salles de réunion bien aménagées, pouvant accueillir diverses configurations pour jusqu'à 100 participants. Chaque salle est équipée d'aides technologiques avancées et de dispositifs de haute sécurité, garantissant une expérience sans faille pour tous les événements. De plus, la propriété offre 80 chambres, y compris des doubles supérieures et des suites junior, dont beaucoup offrent des vues imprenables sur le port et le paysage historique de la ville. Les services sur place améliorent l'expérience globale, avec un restaurant accueillant proposant diverses options culinaires, ainsi que des commodités telles que l'accès à Internet et des hébergements acceptant les animaux de compagnie. Le lieu est entièrement accessible aux fauteuils roulants et est commodément relié par les transports publics, y compris les bus, les taxis et les services de train. Avec un parking payant disponible, il assure un accès facile pour tous les invités, en faisant un choix parfait pour les événements d'entreprise.","L'établissement est conçu pour être entièrement accessible, avec des installations adaptées aux fauteuils roulants. Il est idéalement situé à proximité des options de transport public, y compris les services de bus, de taxi et de train, garantissant un accès facile pour tous les participants. De plus, l'établissement propose un stationnement payant pour ceux qui arrivent en voiture.","L'établissement propose un service de restauration complet, avec un restaurant sur place qui répond à une variété de préférences culinaires. Les invités peuvent savourer une sélection de plats gastronomiques préparés avec des ingrédients locaux frais, accompagnés d'un large choix de boissons. Le restaurant est conçu pour accueillir à la fois des repas décontractés et des événements formels, garantissant une expérience agréable pour tous les participants.","Cet espace propose une gamme d'activités récréatives destinées à améliorer l'expérience des invités. Les visiteurs peuvent profiter de promenades tranquilles le long d'un front de mer pittoresque, explorer la culture locale dynamique, ou se laisser tenter par une cuisine raffinée dans le restaurant sur place. De plus, la proximité du centre-ville permet un accès facile aux options de shopping et de divertissement, garantissant une expérience complète tant pour les voyageurs d'affaires que pour les vacanciers.",44.40879939999999,8.9066713,Genova,Liguria,16126,Città Metropolitana di Genova,Italy,URBAN,87,80,0,0,0,HOTEL
3b133be0-6177-4fc1-9a98-ffeee6fefa89,Lieu 7,"Situé dans une région montagneuse pittoresque, ce lieu offre une échappatoire sereine entourée d'une beauté naturelle à couper le souffle. La région est réputée pour ses paysages magnifiques et est idéalement située près de plusieurs attractions notables, ce qui en fait une destination idéale pour le travail et les loisirs. Les invités peuvent explorer le riche patrimoine culturel et les activités de plein air que la région a à offrir, garantissant une expérience mémorable. Le lieu est équipé d'une gamme de installations modernes conçues pour répondre aux besoins professionnels et récréatifs. Il dispose de cinq salles de réunion bien aménagées qui offrent un environnement propice à divers événements, complétées par 75 chambres confortables pour la détente. De plus, le lieu dispose d'un accès Internet haut débit, d'un restaurant sur place et de services de restauration pour améliorer l'expérience globale des invités. Une variété de services est disponible sur place pour garantir une expérience fluide pour tous les visiteurs. De l'assistance dédiée à la planification d'événements aux options de restauration, le lieu s'engage à répondre aux divers besoins de sa clientèle. Des fonctionnalités d'accessibilité sont également en place, garantissant que tous les invités peuvent profiter des installations confortablement.","Cet espace est conçu en tenant compte de l'accessibilité, avec un accès pour les fauteuils roulants dans l'ensemble des locaux. Il propose une connexion Internet et des services de restauration sur place, garantissant une expérience agréable pour tous les invités. Les installations sont adaptées pour répondre à divers besoins, ce qui en fait un excellent choix pour des événements professionnels.","L'établissement propose une large gamme de services de restauration, incluant un service traiteur sur place et un restaurant dédié. Les invités peuvent savourer une variété d'options culinaires adaptées à divers goûts, garantissant une expérience gastronomique agréable durant leur séjour ou événement.","L'établissement propose une gamme variée d'activités récréatives conçues pour enrichir l'expérience globale des invités. Les visiteurs peuvent s'adonner à diverses activités de plein air, telles que la randonnée et le VTT, profitant des magnifiques paysages naturels environnants. De plus, des opportunités de détente et de loisirs sont disponibles, comme apprécier les paysages sereins ou participer à des visites guidées mettant en valeur le riche patrimoine culturel de la région. L'installation dispose également d'équipements qui répondent à la fois aux besoins de détente et aux activités actives, garantissant une expérience complète pour tous les participants.",42.3970746,2.1537655,Núria,Catalunya,17534,Girona,Spain,MOUNTAIN,75,75,0,0,0,HOTEL
d8fa23d0-e7df-4e99-8ec8-657223320eea,Lieu 8,"Situé dans une région pittoresque réputée pour ses paysages à couper le souffle, ce lieu est idéalement placé pour explorer la charmante ville et ses attractions environnantes. La zone est célèbre pour sa culture vibrante, son importance historique et sa beauté naturelle époustouflante, en faisant une destination parfaite pour les voyageurs d'affaires et de loisirs. Les points d'intérêt à proximité comprennent des sentiers de randonnée captivants, des boutiques d'artisans locaux et des points de vue pittoresques qui mettent en valeur le charme unique de la région. Le lieu propose une gamme complète d'installations et d'équipements conçus pour répondre aux besoins professionnels et de loisirs. Les espaces de réunion sont équipés d'une technologie audiovisuelle moderne, d'un accès Internet haut débit et d'arrangements de sièges flexibles pour accueillir divers formats d'événements. Les invités peuvent également profiter de la commodité d'un restaurant sur place et de services de restauration, garantissant que tous les besoins culinaires sont satisfaits pendant leur séjour. De plus, le lieu dispose de chambres accessibles, y compris des options pour ceux ayant des difficultés de mobilité, assurant une expérience confortable pour tous les participants. Les services sur place sont adaptés pour améliorer l'expérience globale, fournissant aux invités tout ce dont ils ont besoin pour un événement réussi. Un personnel professionnel est disponible pour aider à la planification et à la coordination des événements, garantissant une exécution sans faille du début à la fin. Le lieu propose également un parking payant et un accès pratique aux transports en commun, facilitant l'arrivée des invités et l'exploration de la région environnante. Avec un accent sur un service exceptionnel et une attention aux détails, ce lieu s'engage à offrir une expérience mémorable à tous les visiteurs.","L'établissement propose d'excellentes caractéristiques d'accessibilité, y compris l'accès pour les personnes en fauteuil roulant dans deux de ses chambres. Il est idéalement situé à proximité des transports en commun, avec un accès facile aux services de bus et de train. De plus, un stationnement payant est disponible pour les clients voyageant en voiture.","L'établissement propose une gamme complète de services de restauration, y compris un service de traiteur sur place et un restaurant dédié. Les invités peuvent profiter d'une variété d'options culinaires adaptées aux besoins des rassemblements professionnels et des événements. Les services de traiteur sont conçus pour offrir une expérience culinaire fluide, garantissant que toutes les préférences et exigences alimentaires sont prises en compte. Que ce soit pour un banquet formel ou une réception décontractée, l'équipe culinaire de l'établissement s'engage à fournir une qualité et un service exceptionnels.","L'établissement propose une gamme d'activités récréatives visant à enrichir l'expérience des invités. Les visiteurs peuvent profiter de promenades tranquilles dans la charmante région environnante, découvrant des paysages pittoresques et des sites culturels. Pour ceux qui recherchent la détente, le salon sur place offre une atmosphère sereine pour des rassemblements et des réunions informelles. De plus, la proximité de l'établissement avec les transports en commun permet un accès facile aux attractions voisines, en faisant une base idéale pour des activités professionnelles et de loisirs.",47.33116200000001,9.407461999999995,Appenzell,Appenzell Innerrhoden,9050,,Switzerland,MOUNTAIN,16,16,0,0,0,HOTEL
87f49134-83ee-4756-89d1-736e0156bd4f,Lieu 9,"Ce lieu, situé dans un environnement naturel préservé, propose un cadre paisible et ressourçant, idéal pour les professionnels. Il offre des espaces de détente en pleine nature, avec des possibilités de repas en extérieur et d'activités de plein air. Les installations incluent plusieurs hébergements confortables, un espace commun chaleureux avec cheminée, ainsi que des équipements pour le bien-être et le sport, comme une piscine et un court de tennis. Ce cadre est parfait pour allier travail et détente, avec un service personnalisé pour une expérience mémorable.","Ce lieu est facilement accessible en véhicule avec un temps de trajet d'environ 30 minutes, à réserver à l'avance, depuis une gare locale. Il est situé à environ 1h30 de trajet d'une grande ville.",,,48.56502589999999,0.7246249,Longny les Villages,Normandie,61290,Orne,France,COUNTRYSIDE,100,50,25,75,2,VILLAGE_ECOLODGE
