service_id,service_provider_id,venue_id,service_category,type,title,description
5d35b280-4cfe-4852-b617-aa36cb63b85c,,b0a437b9-30c3-4c00-8a36-ba39f7f6e9e9,ACTIVITY,OTHER,forfait spa journalier,
4104a71e-1f51-440a-8999-e308759cd96f,,b0a437b9-30c3-4c00-8a36-ba39f7f6e9e9,ACTIVITY,MASSAGE_AND_WELLNESS,massage 1h15,
6c1320f5-640e-465f-a8f9-3a69f1cf61db,,3860e719-00b8-4bc2-b081-083f614ab838,RESTAURATION,GROCERY_DELIVERY,Récupération de vos courses,
b484f66f-95e7-4ff7-a02f-d532d7468b07,,b0a437b9-30c3-4c00-8a36-ba39f7f6e9e9,RESTAURATION,LUNCH,petit déjeuner complet (par pers),
983ae17c-66fd-43cd-a7ea-2545bc8421c4,,b0a437b9-30c3-4c00-8a36-ba39f7f6e9e9,RESTAURATION,GROCERY_DELIVERY,Réception de vos courses,
9d7bc6e4-01f5-4e20-af5c-3b7697e435f8,,b0a437b9-30c3-4c00-8a36-ba39f7f6e9e9,RESTAURATION,LUNCH,petit déjeuner classique (par pers),
897ccb8e-cfd6-446c-b852-9b49b5d5949d,,af527db5-3fb0-4102-9917-281df5c1f31f,RESTAURATION,MORNING_SNACK,"Pause matin (eau, thé, café, jus de fruits, viennoiseries)",
e9f5ba69-672e-4371-be2e-dd8e9a95e304,,af527db5-3fb0-4102-9917-281df5c1f31f,RESTAURATION,BREAKFAST,Petit-déjeuner buffet,
442e5613-ae96-46c4-aaf3-672215dff4cb,,af527db5-3fb0-4102-9917-281df5c1f31f,RESTAURATION,DINNER,"Dîner 3 plats, eaux et café hors vin",
703b34b5-a4ef-4484-bcba-bbd9ebdb4a3a,,af527db5-3fb0-4102-9917-281df5c1f31f,RESTAURATION,LUNCH,"Déjeuner 3 plats, eaux et café hors vin",
7b4c7db3-cf58-463f-94a9-f4942fe34ff5,,af527db5-3fb0-4102-9917-281df5c1f31f,RESTAURATION,DRINK,Forfait vin déjeuner (1 bouteille / 3 pers),
719a0e81-d986-4571-86fb-72dbf4f45dcb,,a03a9a25-263d-4a44-9cfa-c6c7e9a09bd5,RESTAURATION,LUNCH,Déjeuner,
bf196f61-3244-43d2-87bb-fac7bb8ae5af,,a03a9a25-263d-4a44-9cfa-c6c7e9a09bd5,RESTAURATION,BREAKFAST,Petit-déjeuner,
3638c357-8d59-4dc3-beb2-c380ac01acee,,64b1ce55-c48b-4345-aa4b-0ac3a8a12cb1,RESTAURATION,LUNCH,Petit déjeuner,
6c2513dc-f2d1-4386-8591-bc773472ca20,,64b1ce55-c48b-4345-aa4b-0ac3a8a12cb1,RESTAURATION,DINNER,Diner Bistronomique,"Menu composé de quatre plats - hors boissons. Un menu unique incluant une entrée, un plat de poisson, un plat de viande et un dessert."
ba408f7f-9120-4c9b-8dad-e6a92c4ffa10,,64b1ce55-c48b-4345-aa4b-0ac3a8a12cb1,RESTAURATION,MORNING_SNACK,Pause gourmande,
d6a88125-a832-49ef-89a4-c084c98f3985,,64b1ce55-c48b-4345-aa4b-0ac3a8a12cb1,RESTAURATION,LUNCH,Déjeuner,repas composé de trois services dans un établissement traditionnel
f2f18a70-b088-459c-b67d-d393e772c4f7,,80570c38-151b-4277-9f94-f84d03f73ecf,RESTAURATION,LUNCH,"Déjeuner 3 plats, eaux et café hors vin",
d72d5aed-f97f-4bbe-bef4-91bbf97875da,,80570c38-151b-4277-9f94-f84d03f73ecf,RESTAURATION,DINNER,"Dîner 3 plats, eaux et café hors vin",
1932d133-fb2a-4d98-af88-613dddfa9ac5,,80570c38-151b-4277-9f94-f84d03f73ecf,RESTAURATION,DRINK,Forfait vin déjeuner (1 bouteille / 3 pers.),
96fdc0c7-bc5f-471e-ae78-be07522b475d,,80570c38-151b-4277-9f94-f84d03f73ecf,RESTAURATION,WELCOME_COFFEE,"Café d'accueil (eau, thé, café et jus de fruit le jour de votre arrivée)",
cbc3d743-d4a3-4cde-bc8e-e80e5cc48163,,80570c38-151b-4277-9f94-f84d03f73ecf,RESTAURATION,MORNING_SNACK,"Pause matin (eau, thé, café, jus de fruits, viennoiseries)",
3c45f47e-1c7e-4a62-8b68-d1f19cdb4150,,80570c38-151b-4277-9f94-f84d03f73ecf,RESTAURATION,LUNCH,Petit-déjeuner buffet,
c64612ff-4fa7-4dbb-9850-7e0db736b48f,,50f6212d-39e9-46a7-8317-67b70d323060,RESTAURATION,LUNCH,Petit déjeuner,
26ae9ded-fea2-4661-bc11-eaaf6a974f57,,50f6212d-39e9-46a7-8317-67b70d323060,RESTAURATION,MORNING_SNACK,Pause gourmande,
36e4ee5b-275b-4eac-bc83-ccf74e4b8abd,,50f6212d-39e9-46a7-8317-67b70d323060,RESTAURATION,DINNER,Diner,
d05b2272-df27-442d-b7f6-ceef1d6981db,,50f6212d-39e9-46a7-8317-67b70d323060,RESTAURATION,DRINK,Forfait vin,
6ebc35c3-42a7-4bc9-bc6f-39f43b655a56,,50f6212d-39e9-46a7-8317-67b70d323060,RESTAURATION,LUNCH,Déjeuner,
b7ef48a0-8ab4-4ca8-a428-2bc88c9b803c,,88452979-17eb-42c9-a6e0-a5bef99aa0e2,RESTAURATION,LUNCH,Menu Bistronomique,
5b4148f2-cd61-48b1-a4d2-4f78002388d2,,88452979-17eb-42c9-a6e0-a5bef99aa0e2,RESTAURATION,MORNING_SNACK,Pause gourmande,
67250550-560b-4a9e-8830-bdadd82844e5,,a03a9a25-263d-4a44-9cfa-c6c7e9a09bd5,RESTAURATION,LUNCH,Barbecue pour préparer soit même,
57270356-9d30-4420-aa0b-55c80cdc537d,,1bf4ffcc-b1c5-432f-b1bc-b87355f1044e,RESTAURATION,DRINK,Forfait vin déjeuner,
623ce9a8-1015-4b47-b961-fe090d156ddb,,1bf4ffcc-b1c5-432f-b1bc-b87355f1044e,RESTAURATION,DINNER,Diner hors vin,
74e327b0-6aa2-47f9-8c9f-cd5324e88e12,,1bf4ffcc-b1c5-432f-b1bc-b87355f1044e,RESTAURATION,LUNCH,Déjeuner hors vin,"Offre de restauration incluant un menu composé de trois plats, avec boissons et café compris."
41c64383-3c09-404b-83d5-67bd56fe77af,,1bf4ffcc-b1c5-432f-b1bc-b87355f1044e,RESTAURATION,PERMANENT_SNACK,Pause permanente,Offre de boissons variées et de pâtisseries.
b00032c9-8510-4f1a-85ef-389291892ebb,,1bf4ffcc-b1c5-432f-b1bc-b87355f1044e,RESTAURATION,WELCOME_COFFEE,Café d'accueil (le jour de votre arrivée),Boissons variées disponibles.
5501997f-d789-460f-b9c9-a29634d07a0a,,1bf4ffcc-b1c5-432f-b1bc-b87355f1044e,RESTAURATION,BREAKFAST,Petit déjeuner,
1a5e458e-e856-4ec5-b4ce-6c908c9a5ce3,,88452979-17eb-42c9-a6e0-a5bef99aa0e2,RESTAURATION,LUNCH,Petit déjeuner,
5aec44de-0d91-44b8-be6c-90311b57c46d,,88452979-17eb-42c9-a6e0-a5bef99aa0e2,RESTAURATION,LUNCH,Menu Brasserie,
ec57a7de-286b-4c1a-8ee5-d621129f8c9a,,e5397465-e601-4047-a1b6-068aa53050b2,TRANSPORT,BUS,Gare Aix TGV / Rians (aller-retour),Le transport est assuré par un véhicule de 22 places.
3b45c6bd-d38d-48f2-adfb-ae78ec504266,,a03a9a25-263d-4a44-9cfa-c6c7e9a09bd5,RESTAURATION,DRINK,Forfait Boissons,
e5b0cead-a8a4-4701-bc6b-985c2a2095de,,a03a9a25-263d-4a44-9cfa-c6c7e9a09bd5,RESTAURATION,DINNER,Apéro + Dîner Barbecue,
c566c6ff-53a1-4aed-a135-edf4dc304937,,e5397465-e601-4047-a1b6-068aa53050b2,TRANSPORT,BUS,Gare routière Meyrargues / Rians (aller-retour),Le transport se réalise en véhicule de petite capacité.
89650698-c407-4e12-9aca-b84604c764ab,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Wiedikon,
e4fca3ad-f998-4cb9-a118-9513a64d5af2,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Altstetten,
63cc657c-7e22-46d3-abee-9f6156f14803,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Altstetten / Wipkingen,
c8836e7e-9dd0-4668-8846-71fdc97a529d,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Albisrieden,
13cbad76-2dd8-4eb8-82cf-f23724c3dce0,,e5397465-e601-4047-a1b6-068aa53050b2,RESTAURATION,OTHER,Réception de course au Drive,Un service d'accueil permet de récupérer vos courses directement dans un point de retrait et de les stocker au frais avant votre arrivée.
c1f37bc4-aec0-489b-b5a6-c4e7b53c3ac9,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Hottingen,
e36bb81c-10ed-40b5-bfb0-7bfa3211a7ec,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Höngg,
df16ef4b-10cb-4dac-b33f-770588c1a9c2,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Wipkingen,
e6a4344c-ebb0-43fb-8f04-c2f94143e821,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Höngg / Wipkingen,
0db995dc-3c61-4f49-88ff-f20ae1f345df,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Höngg / Wipkingen / Altstetten,
289a25dc-c5f2-4c98-bc7c-ffa04d41a4cb,,087e38fd-90f5-4290-8167-2ff5b908a3cb,HOUSE,SPACE,Accès à l'espace Enge,
